Four of the juiciest leaked Podesta emails:;Four of the juiciest leaked Podesta emails;link;http://www.usatoday.com/story/news/politics/onpolitics/2016/10/13/four-juiciest-leaked-podesta-emails/92014368/;10/14/2016 16:00:59;29083;2719;6806;25553;804;1827;324;43;532;file
More Than 1 Million in Obamacare to Lose Plans as Insurers Quit:;More Than 1 Million in Obamacare Are Set to Lose Plans as Insurers Quit;link;https://urldefense.proofpoint.com/v2/url?u=http-3A__www.bloomberg.com_news_articles_2016-2D10-2D14_more-2Dthan-2D1-2Dmillion-2Din-2Dobamacare-2Dto-2Dlose-2Dplans-2Das-2Dinsurers-2Dquit&d=DQIFAg&c=ecx_Oy7LFev-5AZZypfA9UpMsuBfoOoTkgGzbwCI-s8&r=8TDCdpyAHjijobDjBxlkWVQ7uBqSynU5svOgtTslNPk&m=UrlxlMmcscrNiQSHcR0kPybYJAPZwaMmkBpkx6f6-OE&s=075FgY4JkLgvPxMB4VIZi9vv_6aCJBFvNMw4cAM0ygQ&e;10/14/2016 15:19:54;30376;3576;10139;22193;195;2332;359;825;4472;file
Thank you for your support Greensboro, North Carolina. Next stop - Charlotte!;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157891058260725/?type=3;10/14/2016 14:30:30;46943;3237;3583;42872;3554;338;88;6;85;file
Catholic bishop blasts Clinton over emails, 'scheming, robotic liar';Catholic bishop blasts Clinton over emails, 'scheming, robotic liar';link;http://www.washingtonexaminer.com/catholic-bishop-blasts-clinton-over-emails-scheming-robotic-liar/article/2604480#.WAEHYVnhBq4.twitter;10/14/2016 13:00:21;66715;3980;18073;61202;3142;727;1145;89;410;file
This speaks volumes about the RIGGED mainstream media:;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157889858965725/?type=3;10/14/2016 12:45:35;103103;7698;54454;80321;620;3779;610;703;17070;file
Hillary Clinton allies pondered polling in 2008 about Obama's cocaine use, father's Muslim faith:;Leaked emails: Clinton allies pondered polling in 2008 on rumors about Obama's cocaine use, his father's Muslim faith;link;https://www.washingtonpost.com/news/post-politics/wp/2016/10/14/leaked-emails-clinton-allies-pondered-polling-in-2008-on-rumors-about-obamas-cocaine-use-his-fathers-muslim-faith/;10/14/2016 12:08:13;31868;3318;7916;25732;315;2959;2373;68;421;file
Thank you Ivanka!;Instagram photo by Donald J. Trump • Oct 14, 2016 at 3:33am UTC;link;https://instagram.com/p/BLh0TOhDy39/;10/14/2016 11:17:23;35272;2206;1132;32238;2828;44;123;4;35;file
It is time to reject the smallness and pettiness of Washington, and to embrace the GREATNESS of our FUTURE.;;status;;10/14/2016 10:30:59;77753;5013;4759;72156;5159;60;293;10;75;file
WHAT THEY ARE SAYING ABOUT THE CLINTON CAMPAIGN'S ANTI-CATHOLIC BIGOTRY:;SHOW YOUR SUPPORT FOR DONALD TRUMP;link;http://bit.ly/2dcbtvkCrooked;10/14/2016 10:24:05;39967;2698;3160;36939;2276;130;140;40;442;file
First on CNN: Religious leaders slam Clinton campaign over emails:;First on CNN: Religious leaders slam Clinton campaign over emails;link;http://www.cnn.com/2016/10/13/politics/religious-leaders-hillary-clinton-campaign-wikileaks/index.html;10/14/2016 9:51:38;41816;2557;6922;38177;1996;1038;353;24;228;file
